top_url,url_thiny,domain_with_https
qq.com,0,0
8.8.8.8,0,0
baidu.com/abc,0,0
http://abhttpsc.whois.chinaz.com/china.com,0,2
http://whois.chidnaz.com/china.com,0,0
8.8.8.8,0,0
2001:0000:25de::0000:cade,0,0
taobao.com,0,0
sohu.com,0,0
sina.com.cn,0,0
weibo.com,0,0
360.cn,0,0
youku.com,0,0
iqiyi.com,0,0
sogou.com,0,0
163.com,0,0
bilibili.com,0,0
4399.com,0,0
ifeng.com,0,0
so.com,0,0
baidu.com,0,0
1688.com,0,0
hao123.com,0,0
zol.com.cn,0,0
56.com,0,0
tudou.com,0,0
pconline.com.cn,0,0
2345.com,0,0
jd.com,0,0
tianya.cn,0,0
xinhuanet.com,0,0
39.net,0,0
douban.com,0,0
58.com,0,0
bitauto.com,0,0
gamersky.com,0,0
hupu.com,0,0
iciba.com,0,0
ctrip.com,0,0
ganji.com,0,0
qidian.com,0,0
fang.com,0,0
autohome.com.cn,0,0
eastmoney.com,0,0
mafengwo.cn,0,0
pptv.com,0,0
10086.cn,0,0
meishichina.com,0,0
tvmao.com,0,0
duowan.com,0,0
people.com.cn,0,0
le.com,0,0
18183.com,0,0
cntv.cn,0,0
chinaz.com,0,0
kuaidi100.com,0,0
xcar.com.cn,0,0
ku6.com,0,0
china.com,0,0
cr173.com,0,0
pc6.com,0,0
liuxue86.com,0,0
weather.com.cn,0,0
120ask.com,0,0
baike.com,0,0
xuexila.com,0,0
1905.com,0,0
onlinedown.net,0,0
zhihu.com,0,0
xiami.com,0,0
cncn.com,0,0
jjwxc.net,0,0
gushiwen.org,0,0
bendibao.com,0,0
yesky.com,0,0
tgbus.com,0,0
to8to.com,0,0
tianqi.com,0,0
pcbaby.com.cn,0,0
downza.cn,0,0
youth.cn,0,0
pcauto.com.cn,0,0
nuomi.com,0,0
81zw.com,0,0
babytree.com,0,0
mama.cn,0,0
meishij.net,0,0
pclady.com.cn,0,0
5156edu.com,0,0
haodf.com,0,0
haodou.com,0,0
fh21.com.cn,0,0
lecai.com,0,0
biquge.tw,0,0
39yst.com,0,0
sanwen.net,0,0
xinshipu.com,0,0
mgtv.com,0,0
7k7k.com,0,0
yjbys.com,0,0
huya.com,0,0
zhcw.com,0,0
alipay.com,0,0
lz13.cn,0,0
xzw.com,0,0
meiguoshenpo.com,0,0
